Timestamp,Emotion,Duration,Song
6/22/2025 1:05,sad,0.56,sample_sad_song.mp3
6/22/2025 1:05,neutral,20.21,sample_neutral_song.mp3
6/22/2025 1:05,fear,2.18,sample_neutral_song.mp3
6/22/2025 1:05,sad,5.99,sample_sad_song.mp3
6/22/2025 1:05,neutral,1.99,sample_neutral_song.mp3
6/22/2025 1:05,happy,2.03,sample_happy_song.mp3
6/22/2025 1:05,neutral,1.57,sample_neutral_song.mp3
6/22/2025 1:06,neutral,6.9,sample_neutral_song.mp3
6/22/2025 1:06,happy,2.04,sample_happy_song.mp3
6/22/2025 1:07,sad,4.14,sample_sad_song.mp3
6/22/2025 1:07,neutral,4.38,sample_neutral_song.mp3
6/22/2025 1:19,sad,3.09,sample_sad_song.mp3
6/22/2025 1:19,neutral,2.04,sample_neutral_song.mp3
6/22/2025 1:19,happy,1.86,sample_happy_song.mp3
6/22/2025 1:19,sad,2.18,sample_sad_song.mp3
6/22/2025 1:19,angry,1.91,sample_angry_song.mp3
6/22/2025 1:19,sad,10.2,sample_sad_song.mp3
6/22/2025 1:19,neutral,1.98,sample_neutral_song.mp3
6/22/2025 1:19,sad,0.46,sample_sad_song.mp3
6/22/2025 1:45,neutral,0.62,sample_neutral_song.mp3
6/22/2025 1:45,sad,1.98,sample_sad_song.mp3
6/22/2025 1:45,neutral,4.09,sample_neutral_song.mp3
6/22/2025 1:45,happy,8.1,sample_happy_song.mp3
6/22/2025 1:45,neutral,3.33,sample_neutral_song.mp3
6/22/2025 2:11,neutral,1.02,sample_neutral_song.mp3
6/22/2025 2:11,sad,2.01,sample_sad_song.mp3
6/22/2025 2:11,neutral,6.04,sample_neutral_song.mp3
6/22/2025 2:11,sad,2,sample_sad_song.mp3
6/22/2025 2:11,neutral,16.94,sample_neutral_song.mp3
6/22/2025 14:21,sad,6.22,sample_sad_song.mp3
6/22/2025 14:21,surprise,2.17,sample_sad_song.mp3
6/22/2025 14:21,sad,1.99,sample_sad_song.mp3
6/22/2025 14:21,neutral,1.95,sample_neutral_song.mp3
6/22/2025 14:21,sad,0,sample_sad_song.mp3
6/22/2025 14:48,fear,7.44,None
6/22/2025 14:48,happy,3.94,sample_happy_song.mp3
6/22/2025 14:49,fear,19.71,sample_happy_song.mp3
2025-06-22T22:48:29.099067,neutral,,
2025-06-22T22:48:51.780374,sad,,
2025-06-22T22:49:00.469663,happy,,
2025-06-22T22:49:10.829605,happy,,
2025-06-22T22:49:15.328957,happy,,
2025-06-22T22:49:24.831668,sad,,
2025-06-22T22:49:37.799451,angry,,
2025-06-22T23:34:45.895463,sad,,
